Fortune500,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,23/11/2020,24/11/2020,25/11/2020,27/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,22/02/2021
MMM,-0.786466412,-0.910692225,-0.885847103,-0.979184195,-0.87376004,-0.713274061,-0.748192168,-0.462137292,-0.3802162,-0.273450943,-0.317096698,-0.452737487,-0.333885235,-0.288223216,-0.161311168,-0.256662474,-0.162655343,-0.282180777,-0.178769675,-0.239876055,-0.484297204,-0.828771133,-0.996641678,-1,-0.900619376,-0.700516003,-0.527945077,-0.887190186,-0.683057495,-0.695144559,-0.667614159,-0.284194923,-0.27949345,-0.424535068,-0.240548143,0.032747582,0.017975309,-0.132438778,-0.018652655,0.068041817,0.152703364,0.351828243,0.354537422,0.338959695,0.057204078,-0.092477486,-0.002396558,-0.003751181,0.038918265,-0.117538329,0.038918265,0.23059193,0.108679363,0.144575828,0.080910365,0.189277107,0.23872049,0.322704691,0.307126964,0.255652772,0.19605002,0.142545019,0.178441484,0.191310032,0.133062928,0.150671463,0.196727297,-0.001043027,-0.020684487,0.15608982,-0.146660857,-0.356623475,-0.452799015,-0.364073734,-0.379651461,-0.370845623,-0.429093752,-0.187299426,-0.112796224,-0.082318117,-0.192717784,-0.1012823,0.275294233,1,0.781234616,0.255652772,0.19063173,0.212306117,0.243460478,0.353183891,0.482546717,0.601072827,0.613265122,0.622747214,0.459539627,0.56128765,0.419932612,0.421297616,0.607040287,0.413785898,0.385105191
AOS,-0.667557715,-0.587626653,-0.756572407,-0.613059239,-0.623959154,-0.318766474,-0.611243687,-0.524044546,-0.039006197,0.040924865,-0.086238614,-0.32058276,-0.253368082,-0.206135482,-0.289700584,-0.364181871,-0.333298961,-0.391430743,-0.373264951,-0.369631462,-0.551293418,-0.714790132,-1,-0.601965383,-0.910533943,-0.698735297,-0.61657218,-0.777246761,-0.521627725,-0.386515267,-0.647611233,-0.35182401,-0.339043407,-0.472329855,-0.293396823,-0.050558573,-0.054210777,-0.034126317,-0.014042591,-0.112637781,0.148458735,0.234273322,-0.056036787,0.073598741,-0.06699138,-0.295222283,-0.32991409,-0.313481283,-0.295222283,-0.249576432,-0.107160301,0.181323248,-0.06699138,-0.057862247,-0.231318166,-0.046907654,-0.291570813,-0.2587063,-0.189323969,-0.156458171,-0.240447299,-0.286093149,-0.218537563,-0.192975439,-0.359127684,-0.359127684,-0.339043407,-0.503370192,-0.439464608,-0.098030984,0.027953074,-0.094379514,0.040733677,0.383992761,0.300003633,0.135677398,0.027953074,0.095508661,0.212362852,0.248880119,0.197756055,0.044384597,-0.399295871,-0.63665664,0.093600634,-0.385286857,-0.067863469,0.18167168,0.150480153,0.411023839,0.660559172,0.913764139,0.902755052,0.884407062,0.860554254,0.728447227,0.499095068,0.524782326,0.321118343,0.594505566,1
ABT,-1,-0.939359071,-0.645047666,-0.660410488,-0.833440034,-0.666878847,-0.853653107,-0.733179733,-0.668495814,-0.578746861,-0.46555033,-0.682240447,-0.703333436,-0.738216996,-0.547575029,-0.679807583,-0.653847645,-0.850979719,-0.562988187,-0.700088342,-0.601927769,-0.636000401,-0.811229128,-0.926425366,-0.917501744,-0.725236701,-0.556498651,-0.396683652,-0.234435139,-0.162234504,-0.570289873,-0.455093065,-0.305824195,-0.362611672,-0.309880868,-0.223078002,-0.272563793,-0.539462335,-0.439679255,-0.448602877,-0.580024504,-0.714690491,-0.812039486,-0.713879564,-0.665204782,-0.643301435,-0.67088331,-0.72118068,-0.69116472,-0.749574051,-0.78040102,-0.819341253,-0.803116515,-0.762554346,-0.781212599,-0.727670786,-0.736594408,-0.619775664,-0.604361854,-0.675751562,-0.660337752,-0.727670786,-0.654659224,-0.700088342,-0.65628116,-0.647357538,-0.56217726,-0.593004147,-0.483486437,-0.502144689,-0.415341905,-0.390193546,-0.45265955,-0.614908064,-0.346386283,-0.481595468,-0.378966894,-0.275524215,-0.249459938,-0.244573034,-0.253532739,-0.100404226,-0.099589552,-0.135428207,0.361423463,0.622066803,0.536543534,0.349205713,0.347576935,0.308480153,0.65790554,0.696187648,0.749131039,0.760534114,0.886782943,1,0.982895916,0.919363554,0.770308493,0.577269094,0.537358208
ABBV,-0.664104296,-0.68711119,-0.645816201,-0.672363088,-0.732535153,-0.625758987,-0.74610354,-0.676492484,-0.660564727,-0.639327374,-0.602752092,-0.631657925,-0.666339529,-0.71656765,-0.654380554,-0.771580087,-0.775167689,-0.856490296,-0.771580087,-0.769786589,-0.794900408,-0.867253405,-1,-0.989236892,-0.724341393,-0.535985092,-0.553325652,-0.162261493,-0.210696056,-0.26092466,-0.125188155,0.09904598,0.055993002,0.023105441,0.109211457,0.068550154,0.11937645,0.090076431,0.146882427,0.216843266,0.296970066,0.403406008,0.417757202,0.459016197,0.44047977,0.4081899,0.464995897,0.450046587,0.601928209,0.515822193,0.626444336,0.685043891,0.614484876,0.545719905,0.417757202,0.335239151,0.444067311,0.459016197,0.432706027,0.388457182,0.334043344,0.362745188,0.361549321,0.372910181,0.447654913,0.481738281,0.59415495,0.490110199,0.555287629,0.500275616,0.567844357,0.601330033,0.705972476,0.751417189,0.911072129,0.940109479,0.872959908,0.973381971,1,0.917726591,0.893528487,0.871750188,0.768908684,0.405332958,0.491235892,0.386579596,0.375690476,0.446469632,0.65699237,0.752574763,0.764674026,0.650337847,0.563225253,0.481556917,0.463408202,0.505149949,0.49063082,0.61706584,0.603151783,0.539632161,0.663646892
ABMD,-0.58024246,-0.601356203,-0.512251952,-0.833995022,-0.804164939,-0.635641705,-0.749346208,-0.677288058,-0.625762576,-0.580048562,-0.496949133,-0.514382431,-0.439031651,-0.386150082,-0.329781966,-0.426828165,-0.503147816,-0.598644048,-0.48435845,-0.427796455,-0.294140397,-0.251719031,-0.39719138,-0.947118722,-1,-0.942469714,-0.827215826,-0.71796616,-0.602518373,-0.606198818,-0.46285753,-0.671477172,-0.662954111,-0.682130673,-0.608329278,-0.595738596,-0.650363429,-0.722421579,-0.637191671,-0.683680659,-0.718160039,-0.732881201,-0.768716668,-0.612203603,-0.569588358,-0.683680659,-0.741017046,-0.710218092,-0.598450751,-0.612590799,-0.578498596,-0.723583748,-0.689104349,-0.872735942,-0.695109153,-0.545181985,-0.568813366,-0.416755738,-0.19593201,-0.149055826,-0.022760639,0.010556571,-0.001840213,0.182179157,0.337530034,0.395448097,0.400871806,0.25617445,0.369878954,0.350701792,0.388474441,0.398159671,0.408425976,0.409975942,0.391379874,0.286779525,0.507215438,0.635253908,0.859370266,0.872735942,0.859951361,0.868087206,0.724164843,0.486101714,1,0.866731138,0.742953608,0.858789172,0.440193821,0.412106421,0.471573869,0.433026247,0.406295516,0.40687661,0.376270954,0.481452397,0.373365501,0.247844707,0.359805947,0.551380068,0.372784407
ACN,-0.695238406,-0.64572829,-0.572986848,-0.603835858,-0.70971048,-0.668198545,-0.787783633,-0.66972176,-0.587459498,-0.436054246,-0.363410595,-0.409672985,-0.407761677,-0.432995579,-0.384056208,-0.529726386,-0.371057015,-0.267443736,-0.457082734,-0.397438276,-0.797744108,-0.743070201,-1,-0.904416016,-0.886446234,-0.761039983,-0.549990312,-0.465494214,-0.233416093,-0.145479028,0.004779439,-0.052953136,0.101510207,-0.074364423,0.064423859,0.185624044,0.14242036,-0.01395548,0.118715466,0.127891507,0.233416055,0.378703933,0.35308777,0.383291646,0.343911153,0.465494176,0.36570474,0.376027527,0.510227519,0.35194041,0.373351121,0.255209603,0.231887009,0.219270039,0.139743916,0.265915266,0.281208066,0.931944638,1,0.815332166,0.740776632,0.663161816,0.657809004,0.748804699,0.675397676,0.666985582,0.807302948,0.625692631,0.681515011,0.789332552,0.883388679,0.920091615,0.774422627,0.699865903,0.682985551,0.603188385,0.551396401,0.635414212,0.859078512,0.715979392,0.594364758,0.4896299,0.52607641,0.261746682,0.386046507,0.101383759,0.318142185,0.363411746,0.348833135,0.526843311,0.547176293,0.691809754,0.706004339,0.67761513,0.755494544,0.697948151,0.681834662,0.748205257,0.704086586,0.57594949,0.512265275
ATVI,-0.52387625,-0.605437645,-0.593586963,-0.472987221,-0.778319933,-0.660509178,-0.778319933,-0.766469252,-0.81317529,-0.784594176,-0.585918715,-0.521784511,-0.527361437,-0.635413321,-0.61659108,-0.654234935,-0.650052501,-0.524573009,-0.606134891,-0.58731272,-0.625653821,-0.592889716,-0.728825397,-0.815267029,-0.957476465,-0.910770357,-0.920529857,-0.703729471,-0.650052501,-0.742767819,-0.979783824,-1,-0.900313681,-0.889160246,-0.830602968,-0.838271216,-0.861275821,-0.973510138,-0.943534532,-0.882189244,-0.944231778,-0.992331822,-0.903102179,-0.789473926,-0.696061292,-0.664691681,-0.719065897,-0.744161824,-0.598466713,-0.501568822,-0.406762253,-0.479958153,-0.443011545,-0.403276508,-0.245730158,-0.177413938,-0.086789803,-0.070059371,0.063088369,-0.045660691,-0.003137156,0.051934376,0.104217411,0.136981516,0.132799082,0.147438262,0.235970588,0.030324265,0.085395728,-0.102126229,0.014290522,0.127919332,0.100732224,-0.014987838,0.021261523,0.03659795,0.085395728,0.256884081,0.394214255,0.357964336,0.346113654,0.274311759,0.203206484,-0.055420191,0.05611688,0.107005909,0.136284269,0.314744042,0.230393662,0.224119907,0.846636641,0.817358211,0.924712779,0.92680403,0.960264894,1,0.940745964,0.898222359,0.891251428,0.790171103,0.495991826
ADBE,0.256162909,0.279803591,0.311517763,0.573302902,-0.018307915,0.197347597,-0.018595619,0.389937863,0.323338522,0.649704636,0.901398783,1,0.769352733,0.62058513,0.668733122,0.449041744,0.43116586,0.470952629,0.114603034,0.255874312,-0.127576424,-0.030704975,-0.653164201,-0.533804701,-0.937725123,-1,-0.738215727,0.219259375,0.485656681,0.432607925,-0.244629825,-0.796453844,-0.342367037,-0.491423208,-0.296526008,-0.538416868,-0.33660051,-0.58108693,-0.381000339,-0.48161995,-0.548220156,-0.487962779,-0.275191395,-0.074816236,-0.03329967,-0.013694854,0.047138824,0.13420785,0.183797041,0.363990218,0.451347842,0.1186389,-0.079429297,-0.107106709,0.195906397,0.086925621,0.296237411,0.453653911,0.672481284,0.541012428,0.707655021,0.498342367,0.583392999,0.557157651,0.648262543,0.513911288,0.590889323,0.164768526,0.174859517,-0.383883603,-0.054346551,0.157849396,-0.15525473,-0.229926667,-0.218394477,-0.471529824,-0.621162296,-0.666714757,-0.285281521,-0.219259375,-0.207150019,-0.178319111,-0.096439417,-0.565806577,-0.402334952,-0.601268912,-0.277497493,0.152947767,0.06616731,0.281245656,0.360242056,0.407525178,0.473547324,0.376099575,0.489981144,0.553985789,0.634712881,0.334583009,0.25212615,-0.014559753,-0.354476394
AAP,-0.44441406,-0.547435847,-0.437668384,-0.354881904,-0.315022337,-0.29294645,-0.335871458,-0.234689389,-0.182564192,-0.32606028,-0.269029985,-0.199734981,-0.248793756,-0.191149586,-0.34629651,-0.452998533,-0.467102899,-0.383703529,-0.472622792,-0.362854346,-0.578097128,-0.627155903,-0.874287592,-0.897590183,-0.819096892,-0.567672998,-0.196669479,-0.31318268,-0.257992042,-0.261057482,-0.245727333,-0.319928417,-0.25247307,-0.464650289,-0.407007102,-0.587296336,-0.695224142,-0.768811352,-0.892684164,-1,-0.92457215,-0.662723203,-0.689092278,-0.65659134,-0.793341691,-0.492245147,-0.747349339,-0.643713739,-0.500830542,-0.42663044,-0.481821078,-0.164781493,-0.148223596,-0.182564192,-0.188697037,-0.048881184,0.041877736,-0.002958173,-0.024453966,0.006255099,-0.060691338,-0.067447393,0.017923806,-0.097541663,-0.227133977,-0.167558269,-0.176771541,-0.187212561,-0.19765352,0.360023216,0.447236837,0.594026166,0.652987938,1,0.698436801,0.518482112,0.298605087,0.340368985,0.294305388,0.386432582,0.207091767,-0.04472201,-0.169400751,-0.765157342,-0.432885078,-0.690841037,-0.578445737,-0.387435294,-0.313733723,-0.117195894,-0.190897465,-0.119652251,0.017309932,0.09039769,-0.364096098,-0.465436564,-0.299607799,0.087941333,0.439866968,0.343440075,0.449079319
AMD,-0.576052739,-0.372949086,-0.353436804,-0.098891118,-0.3702878,0.015521373,-0.132593818,0.063414936,0.047450415,-0.254988924,-0.149445435,-0.061640746,-0.156540955,-0.252328259,-0.248780499,-0.352549709,-0.391574272,-0.600886971,-0.58137469,-0.356097469,-0.332150333,-0.629268342,-0.849223523,-0.705543276,-0.947671493,-1,-0.833259002,-0.410199546,-0.263857925,-0.008425853,-0.253214645,-0.708203941,-0.416407883,-0.366740749,-0.403104026,-0.199112656,-0.231928794,-0.304656057,-0.038580704,-0.118403488,-0.058980081,-0.080265932,0.065188506,0.107760828,0.592905065,0.590243691,0.68869166,0.561862409,0.715299461,0.717960126,0.615964397,0.341907139,0.504213281,0.503326186,0.780931204,0.988470334,0.964523109,0.963636014,0.88203975,0.643459294,0.637250957,0.494457096,0.517516517,0.498891242,0.411973737,0.560088839,0.508647427,0.560975934,0.602660541,0.386253031,0.814634526,0.763193114,1,0.832372617,0.514855852,0.427051163,0.198226182,0.308203817,0.246119834,0.492682906,0.604434731,0.723281367,0.774722779,0.25410174,0.137028674,-0.029711703,0.149446144,0.255876019,0.169844811,0.165409956,0.170731995,0.487361576,0.437694443,0.56541008,0.592905065,0.691352325,0.486474481,0.351663235,0.236363649,0.319734192,-0.05365813
AES,-1,-0.977285734,-0.958065357,-0.991263771,-0.882932301,-0.87594346,-0.861965423,-0.846239998,-0.725677702,-0.746644934,-0.711699488,-0.706457502,-0.692479465,-0.652291679,-0.645302837,-0.645302837,-0.62783038,-0.591137368,-0.556191744,-0.514257102,-0.526488105,-0.568422571,-0.715193908,-0.684742731,-0.690023165,-0.602013978,-0.55448883,-0.612574847,-0.431276039,-0.529846449,-0.431276039,-0.457678919,-0.374949813,-0.506963681,-0.448877664,-0.367909234,-0.364388767,-0.3608683,-0.447117874,-0.52808595,-0.521045548,-0.399592902,-0.429515717,-0.418954495,-0.52456566,-0.496402813,-0.397832403,-0.397832403,-0.413674237,-0.448877664,-0.392551615,-0.452398131,-0.452398131,-0.399592902,-0.373190022,-0.200691584,-0.267578857,-0.23413522,-0.154926403,-0.140845068,-0.105641641,0.012290892,-0.026433001,-0.021152744,-0.019392422,-0.11268222,0.014051214,-0.03171379,0.105581044,0.274558484,0.230553802,0.352006802,0.359047381,0.457617968,0.608993783,0.709324869,0.735727395,0.816695825,0.809655246,0.6794017,0.647718385,0.494581717,0.200630987,-0.08099926,0.227478067,0.199128645,0.273545878,0.440098911,0.4578173,0.514516144,0.636773205,0.782063817,0.822816111,0.774976284,0.838762661,0.932670299,1,0.973422417,0.805097545,0.893689489,0.661578772
AFL,-0.701223398,-0.74013994,-0.698713269,-0.693691612,-0.632178311,-0.563133732,-0.570666027,-0.502876258,-0.461449078,-0.479024689,-0.441363466,-0.590752149,-0.619625375,-0.585730491,-0.590752149,-0.682393487,-0.62841299,-0.661052046,-0.553091434,-0.510408936,-0.645988092,-0.8229943,-0.974893112,-0.966105625,-1,-0.802908052,-0.712521524,-0.67611651,-0.592006959,-0.6296678,-0.053456037,-0.008263536,-0.130032911,-0.201588637,-0.049689698,0.164977352,0.171295048,0.153605422,0.26227087,0.278696525,0.354509773,0.566785546,0.501081146,0.459383687,0.288804864,0.386098383,0.463174712,0.511189104,0.587002352,0.445484577,0.454329963,0.43916688,0.468228437,0.403788137,0.322921036,0.407578271,0.38357133,0.399997493,0.283750631,0.245844325,0.175085692,0.238263038,0.277432934,0.287541274,0.266061004,0.298913204,0.357036826,0.195302371,0.204147248,0.415159939,0.38357133,0.359564007,0.362090551,0.573103369,0.561731439,0.660288039,0.611009675,0.683031899,0.684295871,0.590792996,0.604691979,0.622381605,0.604691979,0.442958033,0.565522083,0.446748676,0.501081146,0.589529406,0.536460399,0.518770772,0.480864466,0.585738762,0.581948119,0.637544179,0.662815092,0.666605735,0.636065536,0.723868258,0.7556807,0.856208144,1
A,-1,-0.954279905,-0.907914999,-0.889884536,-0.96780251,-0.755561442,-0.851682987,-0.706533422,-0.688469875,-0.585252313,-0.606540946,-0.607186274,-0.630410372,-0.61363748,-0.52461247,-0.602670468,-0.594929123,-0.645247799,-0.520096729,-0.558803064,-0.658150212,-0.567189284,-0.849747004,-0.826523875,-0.822008134,-0.618798549,-0.503323837,-0.409137758,-0.289792567,-0.147868153,-0.150448881,-0.298824114,-0.3497876,-0.347852135,-0.30075958,-0.294308308,-0.320757558,-0.57299568,-0.396880607,-0.254311318,-0.169156786,-0.009815122,-0.031103755,-0.047876647,0.133399494,0.034052799,-0.016911139,-0.080776586,0.020505575,-0.027877635,0.140495512,0.101143849,0.256615099,0.235326918,0.123077357,0.165009813,0.155332938,0.266937236,0.288225869,0.190168859,0.163719675,0.159203869,0.159848744,0.193394463,0.154688127,0.165009813,0.235971793,0.258200018,0.320878391,0.532821187,0.744118269,0.802272952,0.872704946,0.796457639,0.797103936,0.735717769,0.747348783,0.821011808,0.870120729,0.798396077,0.755102986,0.700178817,0.599376371,0.268538956,0.446880851,0.357063575,0.399710885,0.552206405,0.48500499,0.609069012,0.551560108,0.566422218,0.555436984,0.674332054,0.795811342,0.861720681,0.859781791,1,0.842335464,0.789996094,0.572237467
APD,0.267639793,0.308301809,0.491610836,0.382106748,0.429134971,0.576056341,0.434627382,0.637501512,0.553400261,0.585668352,0.663933973,0.602832022,0.493326865,0.426388249,0.501222812,0.364599859,0.375926864,0.333705681,0.299034052,0.359107448,0.098219205,-0.001330722,-0.362454262,-0.232354412,-0.250547706,0.108174401,0.188843559,0.197425912,0.679724799,0.795751991,1,0.907315327,-0.092641516,-0.625744973,-0.675176734,-0.586954848,-0.592104073,-0.543702971,-0.452392212,-0.448272645,-0.284187571,0.016519353,-0.186011558,-0.195966754,-0.11666937,-0.012315577,-0.331559014,-0.559150612,-0.335678615,-0.492898401,-0.525508642,-0.445182703,-0.505256065,-0.555374231,-0.622656101,-0.464406657,-0.502510377,-0.512807758,-0.480197517,-0.653894533,-0.670370729,-0.593477952,-0.521390111,-0.512807758,-0.508344972,-0.426989375,-0.307626961,-0.480806025,0.00871924,0.270212818,0.108762935,0.124286333,0.034247339,0.031832245,0.29436176,0.141880606,0.164649356,0.121526985,0.152574885,0.016307742,0.050461385,-0.107539571,-0.14307237,-0.419399803,-0.216553064,-0.530483066,-0.454932602,-0.282443116,-0.191023896,-0.877531844,-1,-0.983095858,-0.955497437,-0.985165628,-0.843379271,-0.744715767,-0.738505352,-0.763343873,-0.672269976,-0.629837183,-0.57464034
AKAM,0.251974615,0.270931804,0.218009369,0.169826034,0.065560706,0.104265052,0.030015917,0.150078797,0.260663478,0.375197211,0.498419727,0.606634819,0.438388603,0.100315999,0.231437331,0.128752098,0.120063235,0.097945857,0.01737737,-0.08135881,-0.13586134,-0.084518447,-0.819905285,-0.944707976,-1,-0.945498023,-0.956556475,-0.666667206,-0.400474226,-0.485782444,-0.672196354,-0.876777483,-0.835703469,-0.754344382,-0.493681181,-0.48183276,-0.42101151,-0.567931026,-0.49605077,-0.431279835,-0.39257541,-0.415482283,-0.319115692,-0.273301946,-0.337282833,-0.281990809,-0.341232517,-0.291469719,-0.283570351,-0.394945,-0.290679672,-0.264613162,-0.34518157,-0.335703291,-0.356240575,-0.308846734,-0.257504394,-0.171406128,-0.055292301,-0.142180061,-0.090047673,-0.056872396,-0.025276739,-0.039494749,-0.084518447,-0.247235436,-0.220379511,-0.200632275,-0.186414265,-0.493681181,-0.39257541,-0.341232517,-0.427330151,-0.48183276,-0.48183276,-0.389415853,-0.105055731,0.176145307,0.124802414,0.171405575,0.101105494,0.280410714,0.728277872,1,0.394944447,0.256713794,0.305687176,0.349920748,0.301737413,0.342022012,0.544233473,0.750394698,0.804897228,-0.211690727,-0.499210407,-0.488942081,-0.703002042,-0.460505982,-0.638231107,-0.704581505,-0.767772898
ALK,-0.86881707,-0.931182872,-0.934050041,-0.913978429,-0.870250834,-0.866666605,-0.972759787,-0.906093125,-0.790680875,-0.786379944,-0.806451555,-0.835842234,-0.796415785,-0.833691768,-0.739068191,-0.72258045,-0.697490989,-0.714695361,-0.650179165,-0.579928274,-0.794265033,-0.873834991,-1,-0.923297497,-0.84372761,-0.816487397,-0.795698796,-0.850179222,-0.751254426,-0.817204386,-0.268817185,-0.296774172,-0.38136198,-0.519713224,-0.358422913,-0.179211457,-0.157706154,-0.139068019,-0.083870818,-0.139068019,0.004301147,0.194265147,0.201433749,0.13548379,0.093906875,0.091756194,0.116845941,0.240143209,0.235125359,0.096774043,0.093906875,0.05017928,0.116845941,0.01577068,-0.052329745,0.048028814,0.006451612,0.036558994,0.049462219,0.040143438,0.049462219,0.15627239,0.185663069,0.209319125,0.169892389,0.232258191,0.167741923,-0.030107381,0.014336988,0.133333324,0.118996407,0.094623649,0.035125589,0.145519631,0.156989093,0.412903053,0.286021628,0.362007071,0.440860255,0.379928216,0.344802914,0.232258191,0.155555688,-0.058064655,0.072401285,-0.05949806,0.016487382,0.071684583,0.20645167,0.345519688,0.324014314,0.531899747,0.435842406,0.551971358,0.575627127,0.566308275,0.736917438,0.740501882,0.73405027,0.904659362,1
ALB,-1,-0.959964899,-0.912002246,-0.962541352,-0.911804093,-0.803392372,-0.823608165,-0.76514105,-0.759988145,-0.778221965,-0.799824933,-0.795861167,-0.806761797,-0.811518376,-0.82995039,-0.846796759,-0.827175605,-0.781392939,-0.799428606,-0.769303149,-0.808941764,-0.795068354,-0.882273275,-0.823013665,-0.83411231,-0.762168271,-0.746709056,-0.829752058,-0.590533015,-0.457347235,-0.367962009,-0.344178935,-0.331494665,-0.330107352,-0.254001055,-0.126364826,-0.145589494,-0.173534666,-0.188200908,-0.146778633,-0.024493642,0.038928205,-0.011214574,0.046856056,0.013361333,0.011577693,-0.000908424,-0.07087051,0.077774167,0.093233222,0.171519486,0.143772646,0.129165684,0.073918808,-0.00716271,0.059809148,0.016883442,0.050667456,0.078887054,0.140890964,0.225351147,0.297688811,0.292323006,0.293912884,0.224357439,0.285367342,0.250192378,0.351743348,0.556434849,0.798289328,0.975158769,0.977146187,0.841810905,0.945349293,0.894076953,0.942765706,0.89844903,1,0.899442739,0.824322897,0.770665899,0.834458,0.803853743,0.674083175,0.624797955,0.551069362,0.624797955,0.68203225,0.535568454,0.396854804,0.441966558,0.52920896,0.472173574,0.419708915,0.495226315,0.590417772,0.54192765,0.447928513,0.129762152,0.422093574,0.428453068
ARE,-0.368934581,-0.394810629,-0.38977939,-0.160497196,-0.051246614,0.113347161,-0.023215271,-0.165528507,0.047940262,-0.019621932,0.106159398,0.014159128,-0.226622503,-0.251060506,-0.241716364,-0.494717069,-0.388341346,-0.3840296,-0.378278796,-0.350966946,-0.61762354,-0.665780127,-0.952562978,-1,-0.99928152,-0.754905465,-0.695249441,-0.487529306,-0.505498099,-0.596779889,-0.815998376,-0.26327958,-0.192121877,-0.291310923,-0.075684689,-0.006684451,-0.00955931,-0.207935303,-0.12096526,-0.092215437,-0.104434439,-0.22015322,-0.204340879,-0.235966645,-0.121684752,0.193129441,0.039315684,0.165816579,0.396536673,0.403723351,0.385754559,0.419535692,0.401566899,0.514411905,0.532380626,0.773162329,0.877381601,0.882412912,0.707037022,0.661036888,0.752318678,0.594193101,0.652412238,0.750880705,0.699850344,0.773621378,1,0.461176562,0.448157426,-0.082710154,0.068449481,0.109675494,0.027224626,-0.027743271,0.325927485,0.236967628,0.287595137,0.153070036,0.479980785,0.524099232,0.321588111,0.367876317,0.333883343,0.133542922,0.213100127,0.196465664,0.373662488,0.149454638,0.325204594,0.479980785,0.528438606,0.435862265,0.502401418,0.615952753,0.548689624,0.626801118,0.448881402,0.369323113,0.283255834,0.133542922,0.101719636
ALXN,-0.93027888,-0.963745177,-0.885259077,-0.837450429,-1,-0.852589752,-0.819521941,-0.450996023,-0.538247144,-0.48326714,-0.48884483,-0.513944314,-0.56294842,-0.582470254,-0.49880499,-0.593227107,-0.503984154,-0.735458191,-0.676494204,-0.599203243,-0.633067747,-0.663346713,-0.868526088,-0.734661498,-0.856972262,-0.869322741,-0.782071939,-0.529880649,-0.446613553,-0.453784868,-0.46892451,-0.380876736,-0.359760918,-0.44023921,-0.354183268,-0.352191396,-0.356972113,-0.525099653,-0.581673282,-0.60836675,-0.559362603,-0.539442283,-0.546613638,-0.510756983,-0.579282923,-0.577689258,-0.553784953,-0.621115714,-0.643027907,-0.709960182,-0.694422372,-0.753386639,-0.708366516,-0.624302766,0.78326684,0.847012102,0.85179278,0.847808477,0.800796801,0.724302852,0.68366524,0.660956354,0.636653564,0.705577711,0.745020144,0.780079509,0.780478274,0.80318716,0.825099631,0.841035648,0.760956161,0.824701424,0.790836641,0.754581499,0.788446282,0.796812498,0.798804649,0.878884734,0.840239233,0.845019951,0.919521748,0.982868804,1,0.758565802,0.822310467,0.664541892,0.758964009,0.725498031,0.720717314,0.754581499,0.68804771,0.711155361,0.741832813,0.714342692,0.714740859,0.86613541,0.798406442,0.811553933,0.833864612,0.751394208,0.72350588
ALGN,-0.947833682,-0.965440515,-0.918379565,-0.982196819,-1,-0.969760472,-0.992211206,-0.942859143,-0.917004895,-0.910001308,-0.863463901,-0.895732477,-0.880809064,-0.857442085,-0.858424046,-0.921783079,-0.870991025,-0.863071193,-0.094515006,0.012370628,-0.086136953,-0.082340736,-0.184317344,-0.20356072,-0.272221671,-0.060413743,-0.017410679,0.103351078,0.15865945,0.06663171,0.061002596,-0.021926997,-0.038552262,-0.097591332,-0.068137214,-0.068726277,-0.10662396,-0.150936174,-0.172273909,-0.138892536,0.058318979,0.048631971,0.039402988,0.051250076,0.089147766,0.212265956,0.247480023,0.283610335,0.353776398,0.32752984,0.314766311,0.270585135,0.266527045,0.257952441,0.239821867,0.318300661,0.318562731,0.386503195,0.407448423,0.412619512,0.451106259,0.375245366,0.395077995,0.34814748,0.34546406,0.370794568,0.43664087,0.384801735,0.497316476,0.475978546,0.593598458,0.67325577,0.584958538,0.557730019,0.546341159,0.569249917,0.651655763,0.587380288,0.632936133,0.498363564,0.434677341,0.469956527,0.441353339,0.274708744,0.451040739,0.377732636,0.493389025,0.589736925,0.513876033,0.965374793,1,0.882118012,0.964327713,0.903979689,0.859601962,0.928851976,0.959157023,0.863071193,0.833355006,0.861238302,0.732229124
